Date,Open,High,Low,Volume,Close
2002-08-20,16400,16550,16300,1166973,16300
2002-08-21,16450,16600,16200,794870,16600
2002-08-22,16850,17100,16700,1618500,16900
2002-08-23,17200,17350,17000,1046500,17100
2002-08-26,16800,17450,16800,767070,17250
2002-08-27,17400,17400,16850,835331,17000
2002-08-28,17000,17250,16900,980224,17000
2002-08-29,16850,16850,16700,618723,16850
2002-08-30,16650,16900,16450,1104668,16900
2002-09-02,16800,17000,16700,1248502,16950
2002-09-03,16950,17050,16500,995658,16500
2002-09-04,16200,16250,15800,1542801,15850
2002-09-05,16100,16150,15750,794699,15750
2002-09-06,15600,15750,15300,1232971,15600
2002-09-09,15500,15950,15500,582524,15700
2002-09-10,15500,16550,15500,1264277,16450
2002-09-11,16700,16700,16200,680780,16600
2002-09-12,16750,16900,16400,1071561,16900
2002-09-13,16450,16500,16100,685570,16400
2002-09-16,16250,16400,15700,1112980,15750
2002-09-17,15800,16000,15600,1524773,15850
2002-09-18,15300,15400,14350,2498945,14700
2002-09-19,14400,14700,14150,2335651,14400
2002-09-23,14100,14150,13750,1754250,14000
2002-09-24,13600,14350,13600,1556068,14100
2002-09-25,13700,14600,13700,1864950,14350
2002-09-26,14600,14750,13900,1263690,14300
2002-09-27,14100,14600,14100,869784,14200
2002-09-30,13900,14000,13700,861060,13850
2002-10-01,13600,14400,13600,627756,14400
2002-10-02,14650,14700,14350,743226,14650
2002-10-04,14100,14600,13500,1976197,13700
2002-10-07,13800,13800,13050,1456870,13300
2002-10-08,13000,13100,12350,2160276,12800
2002-10-09,12700,12850,12500,2385130,12500
2002-10-10,12200,12350,11450,2515169,11450
2002-10-11,12000,12200,11700,2184320,11900
2002-10-14,12450,13500,12350,2359255,13200
2002-10-15,13400,13600,12850,1695801,13300
2002-10-16,13650,13900,13300,1960444,13700
2002-10-17,13550,14150,13400,1997203,14100
2002-10-18,14400,14700,14200,1937720,14600
2002-10-21,14500,14500,13750,894890,13900
2002-10-22,14000,14100,12700,2712075,12850
2002-10-23,12800,13200,12450,2635740,13100
2002-10-24,13300,13850,13050,2523088,13200
2002-10-25,12700,13150,12650,2335220,13000
2002-10-28,13200,13500,13100,1140388,13400
2002-10-29,13150,13900,13150,1447192,13800
2002-10-30,13800,13850,13200,943706,13300
2002-10-31,13450,13450,12700,1026306,12850
2002-11-01,12800,12800,12000,2042190,12100
2002-11-04,12200,12450,12050,2044015,12300
2002-11-05,12400,12650,12100,2367408,12150
2002-11-06,12450,12850,12400,1848749,12850
2002-11-07,12950,13850,12650,3018500,13450
2002-11-08,13150,13500,12900,1214974,13500
2002-11-11,13300,13300,13000,870186,13100
2002-11-12,12700,12900,12650,1241940,12750
2002-11-13,12800,12950,12600,1012224,12850
2002-11-14,12750,12900,12550,1399268,12650
2002-11-15,12900,13150,12800,1136262,12950
2002-11-18,12950,13100,12500,1337231,12550
2002-11-19,12700,13050,12650,1326192,13000
2002-11-20,12900,13200,12850,1203842,13100
2002-11-21,13400,13500,13000,1358212,13000
2002-11-22,13250,13300,12750,1778642,12800
2002-11-25,12700,13000,12650,1276041,12850
2002-11-26,12900,13250,12800,1789632,13000
2002-11-27,12750,13200,12750,838283,13200
2002-11-28,13500,13600,13350,2309048,13500
2002-11-29,13600,14300,13350,3219901,14200
2002-12-02,14300,14400,13700,2490690,14000
2002-12-03,13900,14000,13750,1358465,13900
2002-12-04,13650,13650,13200,1785602,13250
2002-12-05,13100,13700,13100,908720,13700
2002-12-06,13400,13550,13350,748244,13400
2002-12-09,13400,13550,13050,1242717,13250
2002-12-10,13000,13200,12850,1537959,13100
2002-12-11,13150,13250,13000,650642,13100
2002-12-12,13250,13550,13150,1747232,13500
2002-12-13,13600,13850,13350,1422480,13550
2002-12-16,13300,13300,13000,1249925,13150
2002-12-17,13300,13600,13250,1259350,13600
2002-12-18,13500,14000,13500,1798413,13850
2002-12-20,13750,14000,13700,1325630,14000
2002-12-23,14150,14200,13650,2038420,13750
2002-12-24,13700,13900,13400,931987,13600
2002-12-26,13850,14000,13700,1450403,13900
2002-12-27,13600,13800,12900,1133207,13500
2002-12-30,13050,13250,11800,1753075,12400
2003-01-02,12350,12650,12150,951006,12650
2003-01-03,12900,13100,12750,1508011,12950
2003-01-06,13000,13250,12900,1368315,13200
2003-01-07,13350,13400,12700,1136167,12800
2003-01-08,12900,13000,12750,821728,12800
2003-01-09,12750,12800,12400,1245019,12400
2003-01-10,12550,12750,12000,1302166,12300
2003-01-13,12200,12700,12000,1686944,12450
2003-01-14,12400,13150,12150,2450282,13100
2003-01-15,13100,13600,13000,2094312,13200
2003-01-16,12800,13150,12750,572378,13100
2003-01-17,12950,13150,12800,766260,12850
2003-01-20,12550,13000,12550,765143,12850
2003-01-21,12850,12950,12750,862603,12950
2003-01-22,12800,13050,12700,673422,13000
2003-01-23,13150,13650,13100,1694303,13500
2003-01-24,13650,13800,13400,1703950,13450
2003-01-27,13150,13200,13000,862017,13150
2003-01-28,13150,13650,13050,835893,13650
2003-01-29,13650,13650,12900,1566030,13150
2003-01-30,13150,13250,12850,893670,13100
2003-02-03,13200,13250,12850,687502,13200
2003-02-04,13100,13200,12900,625190,13100
2003-02-05,12950,13400,12900,757540,13100
2003-02-06,13100,13300,13000,927565,13300
2003-02-07,13200,13350,13000,523630,13100
2003-02-10,13000,13100,12800,893500,13000
2003-02-11,13000,13100,12550,1175383,12750
